tblCodeID,Code,Description,tblCodeTypeID,CodeType,Created,Modified,Deprecated
194666,ISO15009:2016,ISO standard 15009:2016 Soil quality - Gas chromatographic determination of the content of volatile aromatic hydrocarbons, naphthalene and volatile halogenated hydrocarbons. Revised version of ISO15009:2012,171,REFSK,2017-08-23,2020-08-26,False
78750,ISO15586:2003,ISO standard 15586:2003 Water quality - Determination of trace elements using atomic absorption spectometry with graphite furnace.,171,REFSK,2006-10-23,2006-10-23,False
132395,ISO16665:2005,ISO standard 16665:2005 Water quality - Guidelines for quantitative sampling and sample processing of marine soft-bottom macrofauna,171,REFSK,2010-07-06,2010-07-06,False
137682,ISO16703:2004,ISO standard 16703:2004 Soil quality - Quantitative determination of the mineral oil (hydrocarbon in the range C10 to C40) content in field-moist soil samples by gas chromatography.,171,REFSK,2013-07-30,2013-07-30,False
249391,ISO22032:2006,ISO standard 22032:2006 Water quality -  Determination of selected polybrominated diphenyl ethers in sediment and sewage sludge - Method using extraction and gas chromatography/mass spectrometry,171,REFSK,2021-09-23,2021-09-23,False
228762,ISO25101:2009,ISO standard 25101:2009 Water quality — Determination of perfluorooctanesulfonate (PFOS) and perfluorooctanoate (PFOA) — Method for unfiltered samples using solid phase extraction and liquid chromatography/mass spectrometry,171,REFSK,2020-07-08,2020-07-08,False
129982,ISO5666:1999,ISO standard 5666:1999 Water quality - Determination of mercury,171,REFSK,2007-06-07,2007-06-07,False
129983,ISO5961:1994,ISO standard 5961:1994 Water quality - Determination of cadmium by atomic absorption spectrometry,171,REFSK,2007-06-07,2007-06-07,False
136006,ISO6271-1:2004,ISO standard 6271-1:2004 Clear liquids - Estimation of colour by the platinum-cobalt scale - Part 1: Visual method,171,REFSK,2012-06-20,2012-06-20,False
54263,ISO6468:1996,ISO standard 6468:1996 Water analysis - Determination hexachlorocyclohexane (Isomers and lindane included).,171,REFSK,2006-10-23,2006-10-23,False
54335,ISO7027:1999,ISO standard 7027:1999 Water quality - Determination of turbidity,171,REFSK,2006-10-23,2006-10-23,False
54254,ISO7887:1994,ISO standard 7887:1994 Water quality. Examination and determination of colour,171,REFSK,2006-10-23,2006-10-23,False
131489,ISO8245:1999,ISO standard 8245:1999 Water quality - Guidelines for the determination of total organic carbon (TOC) and dissolved organic carbon (DOC),171,REFSK,2008-10-22,2008-10-22,False
120838,ISO8288:2002,ISO standard 8288:2002 Water quality- Determination of cobalt, nickel, copper, zinc, cadmium and lead- Flame atomic absorption spectometric methods,171,REFSK,2006-10-23,2006-10-23,False
129987,JAMP-CF:1997,OSPAR JAMP guidelines for monitoring contaminants in biota: ASMO 1997,171,REFSK,2007-06-08,2007-06-08,False
130014,JAMP-CFEF:1997,OSPAR JAMP guidelines for contaminant specific effects monitoring: ASMO 1997,171,REFSK,2007-06-08,2007-06-08,False
137447,JAMP-CFEF:2008-09,OSPAR JAMP guidelines for contaminant specific biological effects monitoring: 2008-09,171,REFSK,2013-05-07,2013-05-07,False
130015,JAMP-CFEF-TA1:1997,OSPAR JAMP guidelines for CFEF: Technical Annex 1 - metal specific: ASMO 1997,171,REFSK,2007-06-08,2007-06-08,False
137446,JAMP-CFEF-TA1:2008-09,OSPAR JAMP guidelines for CFEF: Technical Annex 1 - Metal-specific biological effects monitoring 2008-09 ALA-D, Metallothionein, Oxidative stress,171,REFSK,2013-05-07,2013-05-07,False
130016,JAMP-CFEF-TA2:1997,OSPAR JAMP guidelines for CFEF: Technical Annex 2 - PAH specific: ASMO 1997,171,REFSK,2007-06-08,2007-06-08,False
137448,JAMP-CFEF-TA2:2008-09,OSPAR JAMP guidelines for CFEF: Technical Annex 2 - PAH specific:2008-09 DNA adducts, Cytochrome, PAH metabolites, Liver pathology, Macroscopic liver neoplasms,171,REFSK,2013-05-07,2013-05-07,False
130017,JAMP-CFEF-TA3:1997,OSPAR JAMP guidelines for CFEF: Technical Annex 3 - TBTspecific: ASMO 1997,171,REFSK,2007-06-08,2007-06-08,False
130018,JAMP-CFEF-TA3:1998,OSPAR JAMP guidelines for CFEF: Technical Annex 3 - TBTspecific: ASMO 1998,171,REFSK,2007-06-08,2007-06-08,False
130019,JAMP-CFEF-TA3:2002,OSPAR JAMP guidelines for CFEF: Technical Annex 3 - TBTspecific: ASMO 2002,171,REFSK,2007-06-08,2007-06-08,False
130020,JAMP-CFEF-TA3:2003,OSPAR JAMP guidelines for CFEF: Technical Annex 3 - TBTspecific: ASMO 2003,171,REFSK,2007-06-08,2007-06-08,False
137449,JAMP-CFEF-TA3:2008-09,OSPAR JAMP guidelines for CFEF: Technical Annex 3 - TBTspecific: 2008-09 Imposex, Intersex, Organotins,171,REFSK,2013-05-07,2013-05-07,False
137450,JAMP-CFEF-TA4:2008-09,OSPAR JAMP guidelines for CFEF: Technical Annex 4 - Estrogen-specific biological monitoring 2008-09 Bile, VTG, Gonadal intersex,171,REFSK,2013-05-07,2013-05-07,False
129988,JAMP-CF-TA1:1997,OSPAR JAMP Guidelines for CF: Technical Annex 1 - organic contaminants: ASMO 1997,171,REFSK,2007-06-08,2007-06-08,False
129989,JAMP-CF-TA2:1997,OSPAR JAMP Guidelines for CF: Technical Annex 2 - metals: ASMO 1997,171,REFSK,2007-06-08,2007-06-08,False
129990,JAMP-CF-TA3:1999,OSPAR JAMP Guidelines for CF: Technical Annex 3 - PAH's: ASMO 1999,171,REFSK,2007-06-08,2007-06-08,False
132415,JAMP-CF-TA3:2009,OSPAR JAMP Guidelines for CF: Technical Annex 3 - PAH's: 2009,171,REFSK,2010-07-22,2010-07-22,False
132416,JAMP-CF-TA4:2009,OSPAR JAMP Guidelines for CF: Technical Annex 4 - PBDEs: 2009,171,REFSK,2010-07-22,2010-07-22,False
132419,JAMP-CF-TA5:2009,OSPAR JAMP Guidelines for CF: Technical Annex 5 - HBCDs: 2009,171,REFSK,2010-07-22,2010-07-22,False
132417,JAMP-CF-TA7:2009,OSPAR JAMP Guidelines for CF: Technical Annex 6 - Perfluorinated compounds: 2009,171,REFSK,2010-07-22,2010-07-22,False
132418,JAMP-CF-TA8:2009,OSPAR JAMP Guidelines for CF: Technical Annex 7 - Organotin compounds: 2009,171,REFSK,2010-07-22,2010-07-22,False
129997,JAMP-CS:1997,OSPAR JAMP guidelines for monitoring contaminants in sediment: ASMO 1997,171,REFSK,2007-06-08,2007-06-08,False
129991,JAMP-CS-TA1:1997,OSPAR JAMP guidelines for CS: Technical Annex 1 - statistical aspects: ASMO 1997,171,REFSK,2007-06-08,2007-06-08,False
129992,JAMP-CS-TA2:1997,OSPAR JAMP guidelines for CS: Technical Annex 2 - CBs: ASMO 1997,171,REFSK,2007-06-08,2007-06-08,False
129993,JAMP-CS-TA3:1998,OSPAR JAMP guidelines for CS: Technical Annex 3 - PAHs: ASMO 1998,171,REFSK,2007-06-08,2007-06-08,False
132409,JAMP-CS-TA3:2009,OSPAR JAMP guidelines for CS: Technical Annex 3 - PAHs 2009,171,REFSK,2010-07-22,2010-07-22,False
129994,JAMP-CS-TA4:1999,OSPAR JAMP guidelines for CS: Technical Annex 4 - TBT: ASMO 1999,171,REFSK,2007-06-08,2007-06-08,False
129995,JAMP-CS-TA5:2002,OSPAR JAMP guidelines for CS: Technical Annex 5 - normalisation: ASMO 2002,171,REFSK,2007-06-08,2007-06-08,False
129996,JAMP-CS-TA6:2002,OSPAR JAMP guidelines for CS: Technical Annex 6 - metals: ASMO 2002,171,REFSK,2007-06-08,2007-06-08,False
132413,JAMP-CS-TA7:2009,OSPAR JAMP guidelines for CS: Technical Annex 7 - PBDEs: 2009,171,REFSK,2010-07-22,2010-07-22,False
132414,JAMP-CS-TA8:2009,OSPAR JAMP guidelines for CS: Technical Annex 8 - HBCDs: 2009,171,REFSK,2010-07-22,2010-07-22,False
130003,JAMP-EF:1997,OSPAR JAMP guidelines for biological effects monitoring: 1997,171,REFSK,2007-06-08,2007-06-08,False
130004,JAMP-EF-TA1:1997,OSPAR JAMP guidelines for EF: Technical Annex 1 - whole sediment bioassays: ASMO 1997,171,REFSK,2007-06-08,2007-06-08,False
130013,JAMP-EF-TA10:1997,OSPAR JAMP guidelines for EF: Technical Annex 10 - reproductive success in fish: ASMO 1997,171,REFSK,2007-06-08,2007-06-08,False
130005,JAMP-EF-TA2:1997,OSPAR JAMP guidelines for EF: Technical Annex 2 - sediment porewater bioassays: ASMO 1997,171,REFSK,2007-06-08,2007-06-08,False
130006,JAMP-EF-TA3:1997,OSPAR JAMP guidelines for EF: Technical Annex 3 - sediment seawater elutriates: ASMO 1997,171,REFSK,2007-06-08,2007-06-08,False
130007,JAMP-EF-TA4:1997,OSPAR JAMP guidelines for EF: Technical Annex 4 - water bioassays: ASMO 1997,171,REFSK,2007-06-08,2007-06-08,False
130008,JAMP-EF-TA5:1997,OSPAR JAMP guidelines for EF: Technical Annex 5 - CYP1A: ASMO 1997,171,REFSK,2007-06-08,2007-06-08,False
130009,JAMP-EF-TA6:1997,OSPAR JAMP guidelines for EF: Technical Annex 6 - lysosomal stability: ASMO 1997,171,REFSK,2007-06-08,2007-06-08,False
130010,JAMP-EF-TA7:1997,OSPAR JAMP guidelines for EF: Technical Annex 7 - liver neoplasia / hyperplasia: ASMO 1997,171,REFSK,2007-06-08,2007-06-08,False
130011,JAMP-EF-TA8:1997,OSPAR JAMP guidelines for EF: Technical Annex 8 - liver nodules: ASMO 1997,171,REFSK,2007-06-08,2007-06-08,False
130012,JAMP-EF-TA9:1997,OSPAR JAMP guidelines for EF: Technical Annex 9 - externally visible fish diseases: ASMO 1997,171,REFSK,2007-06-08,2007-06-08,False
130001,JAMP-EUT-CPHL:1997,OSPAR JAMP eutrophication monitoring guidelines - chlorophyll a: ASMO 1997,171,REFSK,2007-06-08,2007-06-08,False
129999,JAMP-EUT-NUT:1997,OSPAR JAMP eutrophication monitoring guidelines - nutrients: ASMO 1997,171,REFSK,2007-06-08,2007-06-08,False
129998,JAMP-EUT-OX:1997,OSPAR JAMP eutrophication monitoring guidelines - oxygen: ASMO 1997,171,REFSK,2007-06-08,2007-06-08,False
130000,JAMP-EUT-PP:1997,OSPAR JAMP eutrophication monitoring guidelines - PP species composition: ASMO 1997,171,REFSK,2007-06-08,2007-06-08,False
130002,JAMP-EUT-ZBPB:1997,OSPAR JAMP eutrophication monitoring guidelines - benthos: ASMO 1997,171,REFSK,2007-06-08,2007-06-08,False
135440,JMS-61,ICES Journal of Marine Science 61, 2004.Grosjean et al. Use of ZOOSCAN digital imaging for zooplankton identification,171,REFSK,2011-08-25,2011-08-25,False
135438,JMS-65,ICES Journal of Marine Science 65, 2008. Goodsir et al. TaqMan gene probes use for identifying the gadoid eggs,171,REFSK,2011-08-25,2011-08-25,False
154895,LRS LAND91-2001,Lithuanian Water Quality Law LAND91-2001,171,REFSK,2015-09-11,2015-09-11,False
135396,LST EN 12673:2000,Lithuanian Standard Board - Water quality - Gas chromatographic determination of some selected chlorophenols in water,171,REFSK,2011-08-04,2011-08-04,False
135002,LST EN 14084:2003,Lithuanian Standard Board - Foodstuffs - Determination of trace elements - Determination of lead, cadmium, zinc, copper and iron by atomic absorption spectrometry (AAS) after microwave digestion,171,REFSK,2010-08-31,2010-09-01,False
134996,LST EN 1483:2007,Lithuanian Standard Board - Water quality - Determination of mercury - Method using atomic absorption spectrometry,171,REFSK,2010-08-24,2011-08-04,False
154776,LST EN 15204:2007,Lithuanian Standard Board - Water quality - Guidance standard on the enumeration of phytoplankton using inverted microscopy (Utermöhl technique),171,REFSK,2015-07-21,2015-07-21,False
154777,LST EN 15972:2011,Lithuanian Standard Board - Water quality - Guidance on quantitative and qualitative investigations of marine phytoplankton,171,REFSK,2015-07-21,2015-07-21,False
135394,LST EN ISO 11369:2000,Lithuanian Standard Board - Water quality - Determination of selected plant treatment agents - Method using high performance liquid chromatography with UV detection after solid-liquid extraction (ISO 11369:1997),171,REFSK,2011-08-04,2011-08-04,False
140987,LST EN ISO 11885:2009,Lithuanian Standard Board - Water quality - Determination of selected elements by inductively coupled plasma optical emission spectrometry (ICP-OES) (ISO 11885:2007),171,REFSK,2014-09-15,2020-04-20,False
135000,LST EN ISO 15586:2004,Lithuanian Standard Board - Water quality - Determination of trace elements using atomic absorption spectrometry with graphite furnace (ISO 15586:2003),171,REFSK,2010-08-31,2011-08-04,False
135395,LST EN ISO 15680:2004,Lithuanian Standard Board - Water quality - Gas-chromatographic determination of a number of monocyclic aromatic hydrocarbons, naphthalene and several chlorinated compounds using purge-and-trap and thermal desorption (ISO 15680:2003),171,REFSK,2011-08-04,2011-08-04,False
154778,LST EN ISO 16665:2005,Lithuanian Standard Board - Water quality - Guidelines for quantitative sampling and sample processing of marine soft-bottom macrofauna (ISO 16665:2005),171,REFSK,2015-07-21,2015-07-21,False
140988,LST EN ISO 17294-2:2004,Lithuanain Standard Board - Water quality - Application of inductively coupled plasma mass spectrometry (ICP-MS) - Part 2: Determination of 62 elements (ISO 17294-2:2003),171,REFSK,2014-09-15,2015-07-21,False
194885,LST EN ISO 17294-2:2016,Lithuanian Standard Board - Water quality - Application of inductively coupled plasma mass spectrometry (ICP-MS) - Part 2: Determination of selected elements including uranium isotopes (ISO 17294-2:2016),171,REFSK,2017-10-25,2017-10-25,False
135398,LST EN ISO 17353:2005,Lithuanian Standard Board - Water quality - Determination of selected organotin compounds - Gas chromatographic method (ISO 17353:2004),171,REFSK,2011-08-04,2011-08-04,False
135397,LST EN ISO 17993:2004,Lithuanian Standard Board - Water quality - Determination of 15 polycyclic aromatic hydrocarbons (PAH) in water by HPLC with fluorescence detection after liquid-liquid extraction (ISO 17993:2002),171,REFSK,2011-08-04,2011-08-04,False
140983,LST EN ISO 18856:2005,Lithuanian Standard Board - Water quality - Determination of selected phthalates using gas chromatography/mass spectrometry (ISO 18856:2004),171,REFSK,2014-09-05,2014-09-05,False
135001,LST EN ISO 6468:2000,Lithuanian Standard Board - Water quality - Determination of certain organochlorine insecticides, polychlorinated biphenyls and chlorobenzenes - Gas chromatographic method after liquid-liquid extraction (ISO 6468:1996),171,REFSK,2010-08-31,2011-08-04,False
137681,LST EN ISO 9377-2:2002,Lithuanian Standard Board - Water quality - Determination of hydrocarbon oil index - Part 2: Method using solvent extraction and gas chromatography (ISO 9377-2:2000),171,REFSK,2013-07-30,2013-07-30,False
135393,LST ISO 14154:2007,Lithuanian Standard Board - Soil quality - Determination of some selected chlorophenols - Gas-chromatographic method with electron-capture detection (ISO 14154:2005),171,REFSK,2011-08-04,2011-08-04,False
131080,MCWG1988,MCWG 1988/7.2.4/1 Fat Extraction Method,171,REFSK,2008-05-07,2008-05-07,False
249325,NF-ISO14235:1998,French Standardization Association - Soil quality - Determination of organic carbon by sulfochromic oxidation (based on ISO 14235:1998),171,REFSK,2021-09-13,2021-09-13,False
78000,NMKL 131,NMKL No. 131, 1989: Fat. Determination according to SBR in meat and meat products.,171,REFSK,2006-10-23,2006-10-23,False
154835,OECD-TG489,OECD/OCDE TG489. OECD Guideline for the testing of chemicals. In vivo mammalian alkaline Comet Assay,171,REFSK,2015-08-24,2015-08-24,False
197336,PB 30-3:2012,Polish Branch Standard – for water, wastewater and seawater. Determination of  atrazyna, alachlor, chlorpheninhosis, choloropyrifos, symazium, trifluraline, polybromed eters and tributylocin cation with GC-MS method - 2012,171,REFSK,2018-09-04,2018-09-04,False
194276,PN EN 12673:2004,Polish Standard - Water quality. Gas chromatographic determination of some selected chlorophenols in water (Adopted International Standard EN 12673:1999),171,REFSK,2017-07-14,2017-07-14,False
194278,PN EN 12918:2004,Polish Standard - Water quality. Determination of parathion, parathion-methyl and some other organophosphorus compounds in water by dichloromethane extraction and gas chromatographic analysis (Adopted International Standard EN 12918:1999),171,REFSK,2017-07-14,2017-07-14,False
201382,PN EN 16694:2016-01,Polish Standard - Water quality. Determination of selected polybrominated diphenyl ethers (PBDE) in whole water samples. Method using solid phase extraction (SPE) with SPE-disks combined with gas chromatography-mass spectrometry (GC-MS)(Adopted International Standard EN 16694:2015),171,REFSK,2019-08-20,2019-08-20,False
194473,PN EN ISO 10301:2002,Polish Standard - Water quality. Determination of highly volatile halogenated hydrocarbons. Gas-chromatographic methods (Adopted International Standard EN ISO 10301:1997),171,REFSK,2017-08-03,2017-08-03,False
194286,PN EN ISO 10304-1:2009,Polish Standard - Water quality. Determination of dissolved anions by liquid chromatography of ions. Determination of bromide, chloride, fluoride, nitrate, nitrite, phosphate and sulfate (Adopted International Standard EN ISO 10304-1:2009),171,REFSK,2017-07-14,2017-07-14,False
194277,PN EN ISO 10695:2004,Polish Standard - Water quality. Determination of selected organic nitrogen and phosphorus compounds. Gas chromatographic methods (Adopted International Standard EN ISO 10695:2000),171,REFSK,2017-07-14,2017-07-14,False
194279,PN EN ISO 11369:2002,Polish Standard - Water quality. Determination of selected plant treatment agents. Method using high performance liquid chromatography with UV detection after solid-liquid extraction (Adopted International Standard EN ISO 11369:1997),171,REFSK,2017-07-14,2019-08-20,False
194275,PN EN ISO 15680:2008,Polish Standard - Water quality. Gas-chromatographic determination of a number of monocyclic aromatic hydrocarbons, naphthalene and several chlorinated compounds using purge-and-trap and thermal desorption (Adopted International Standard EN ISO 15680:2003),171,REFSK,2017-07-14,2017-07-14,False
194280,PN EN ISO 17294-2:2006,Polish Standard - Water quality. Application of inductively coupled plasma mass spectrometry (ICP-MS). Determination of 62 elements (Adopted International Standard EN ISO 17294-2:2004),171,REFSK,2017-07-14,2017-07-14,False
194474,PN EN ISO 17353:2006,Polish Standard - Water quality. Determination of selected organotin compounds. Gas chromatographic method (Adopted International Standard EN ISO 17353:2005),171,REFSK,2017-08-03,2017-08-03,False
